"dimension","model_type","cfi","tli","rmsea","srmr","chisq","df","pvalue"
"extr","standard",0.8916733160491,0.860722834920272,0.109738275736314,0.0563487632719675,30526.6427695644,35,0
"open","standard",0.742991044555624,0.66955991442866,0.125359912746525,0.0714202649644973,39825.7313322414,35,0
"cons","standard",0.823637530988547,0.773248254128131,0.103260325242619,0.065187269287223,27032.9964691171,35,0
